"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,Sweetness,Price,Fat Content,"Broad Bean
Origin"
Bonnat,Chuao,81,2006,75,France,4,67,12,7,Venezuela
Brasstown aka It's Chocolate,Chuao,1355,2014,70,U.S.A.,4,68,13,10,Venezuela
Fresco,"Chuao, #217, DR, MC",745,2011,70,U.S.A.,4,65,11,7,Venezuela
Idilio (Felchlin),"Carenero Superior, Urrutia, Barlovento",737,2011,70,Switzerland,4,73,14,7,Venezuela
Soma,"Tien Giang, Black S., batch VIT60420.0",1828,2016,70,Canada,4,54,13,10,Vietnam
"Smooth Chocolator, The",Australia,1864,2016,67,Australia,3.75,92,11,9,Australia
"Smooth Chocolator, The","Maya Mtn, Moho R., Toledo D.",1756,2016,70,Australia,3.75,92,7,8,Belize
Arete,Maya Mountain,1598,2015,70,U.S.A.,3.75,91,9,9,Belize
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70,U.S.A.,3.75,82,7,9,Belize
Ritual,"Toledo District, Maya",1089,2013,75,U.S.A.,3.75,98,9,7,Belize
Terroir,Belize,1478,2015,70,U.S.A.,3.75,82,11,8,Belize
Timo A. Meyer,"Belize, med roast",1836,2016,72,Germany,3.75,86,10,8,Belize
Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",1634,2015,70,U.S.A.,3.75,84,9,8,Bolivia
El Ceibo,"Alto Beni, Covendo Region",709,2011,75,Bolivia,3.75,85,11,7,Bolivia
Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R. 24hr c.",733,2011,66,Switzerland,3.75,84,10,10,Bolivia
Zokoko,"Tranquilidad, Baures",701,2011,72,Australia,3.75,95,12,9,Bolivia
Heirloom Cacao Preservation (Zokoko),"Alto Beni, Upper Rio Beni, 2015",1744,2016,68,U.S.A.,3.75,84,7,8,Bolivia
Fruition,"Wild Bolivian, Batch 2",1780,2016,74,U.S.A.,3.75,88,9,10,Bolivia
Batch,Brazil,1868,2016,70,U.S.A.,3.75,90,6,10,Brazil
Bonnat,Libanio,629,2011,75,France,3.75,93,11,10,Brazil
Mission,"Fazenda Camboa, Bahia",1880,2016,75,Brazil,3.75,99,6,9,Brazil
Scharffen Berger,Tome Acu,336,2009,68,U.S.A.,3.75,96,10,9,Brazil
K'ul,"Bahia, Fazenda Camboa",1852,2016,70,U.S.A.,3.75,95,9,8,Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50,Brazil,3.75,84,11,9,Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75,Brazil,3.75,80,7,7,Brazil
Bonnat,Trinite,24,2006,75,France,3.75,88,6,9,Carribean
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72,U.K.,3.75,91,10,9,Colombia
Cacao Hunters,Macondo,1816,2016,71,Colombia,3.75,85,9,9,Colombia
Cacao Hunters,Perla Negra,1816,2016,74,Colombia,3.75,80,11,7,Colombia
Cacao Hunters,Arhuacos,1662,2015,72,Colombia,3.75,93,9,10,Colombia
Artisan du Chocolat,Congo,300,2008,72,U.K.,3.75,96,12,7,Congo
Ocelot,Virunga,1558,2015,70,Scotland,3.75,92,8,9,Congo
Manoa,Coto Brus,1522,2015,72,U.S.A.,3.75,91,6,9,Costa Rica
Potomac,"Upala, Batch 12",607,2010,82,U.S.A.,3.75,95,10,10,Costa Rica
Pierre Marcolini,"Baracoa, Cuba",516,2010,78,Belgium,3.75,87,9,10,Cuba
Szanto Tibor,Baracoa,1263,2014,70,Hungary,3.75,81,10,8,Cuba
A. Morin,Equateur,1011,2013,70,France,3.75,97,8,7,Ecuador
Cacao Sampaka,Ecuador,523,2010,71,Spain,3.75,85,9,10,Ecuador
Domori,Hacienda Victoria,1672,2015,70,Italy,3.75,93,11,7,Ecuador
Duffy's,"Corazon del Ecuador, Calceta beans",516,2010,72,U.K.,3.75,97,8,8,Ecuador
K'ul,"Los Rios, Hacienda Limon, Heirloom",1852,2016,70,U.S.A.,3.75,92,7,9,Ecuador
L.A. Burdick (Felchlin),Quito,682,2011,74,U.S.A.,3.75,84,6,9,Ecuador
Pacari,Montubia,1415,2014,70,Ecuador,3.75,83,6,10,Ecuador
Ritual,"Camino Verde P., Balao, 2015 harvest, batch8",1860,2016,75,U.S.A.,3.75,92,10,7,Ecuador
Sirene,"Esmeraldas, Salazar Farm",1860,2016,73,Canada,3.75,80,12,7,Ecuador
Sirene,"Camino Verde P., Balao, Guayas",1343,2014,73,Canada,3.75,83,6,8,Ecuador
Spencer,"Ecuador, lot E432314L",1792,2016,70,Australia,3.75,86,7,10,Ecuador
Valrhona,Alpaco,370,2009,66,France,3.75,100,11,9,Ecuador
Heirloom Cacao Preservation (Guittard),"Los Rios, Hacienda Limon, Orecao, 2014",1243,2014,67,U.S.A.,3.75,80,6,9,Ecuador
Republica del Cacao (aka Confecta),Los Rios,170,2007,75,Ecuador,3.75,81,8,10,Ecuador
Arete,"Puerto Quito, heirloom",1534,2015,70,U.S.A.,3.75,87,12,9,Ecuador
Creo,"""heirloom"", Arriba Nacional",1736,2016,73,U.S.A.,3.75,86,7,10,Ecuador
Pierre Marcolini,"Los Rios, Puerto Romero, Equateur",129,2007,72,Belgium,3.75,90,6,9,Ecuador
Szanto Tibor,"Winak, Sumaco",1704,2015,70,Hungary,3.75,97,8,9,Ecuador
Rogue,"Camino Verde P., Balao, Guayas",979,2012,75,U.S.A.,3.75,97,12,10,Ecuador
Wm,"Ghana, 2013, batch 129",1916,2016,75,U.S.A.,3.75,87,8,7,Ghana
Nuance,"Ghana, 2013",1454,2015,70,U.S.A.,3.75,86,8,7,Ghana
Danta,Los Ujuxtes,987,2012,70,Guatemala,3.75,82,12,7,Guatemala
Dick Taylor,Lanquin Estate,1952,2017,70,U.S.A.,3.75,90,10,7,Guatemala
Terroir,Guatemala,1558,2015,70,U.S.A.,3.75,89,7,10,Guatemala
Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,70,U.S.A.,3.75,100,6,9,Hawaii
Heirloom Cacao Preservation (Guittard),"Maunawili, O'ahu, Agri Research C., 2014",1243,2014,67,U.S.A.,3.75,91,12,10,Hawaii
Lonohana,"Haleiwa, O'ahu; Lonohana E., Kanahiku",1383,2014,70,U.S.A.,3.75,90,6,7,Hawaii
Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,75,U.S.A.,3.75,100,11,8,Hawaii
Manoa,"Waiahole, O'ahu",1089,2013,72,U.S.A.,3.75,82,6,10,Hawaii
Soma,O'ahu,833,2012,70,Canada,3.75,91,6,10,Hawaii
Rogue,"La Masica, Batch 1, FHIA Research Center",1748,2016,75,U.S.A.,3.75,88,7,8,Honduras
Duffy's,"Indio Rojo, Xoco",623,2011,72,U.K.,3.75,100,6,8,Honduras
Askinosie,Cortes,661,2011,70,U.S.A.,3.75,98,7,10,Honduras
Willie's Cacao,Java,593,2010,69,U.K.,3.75,92,6,10,Indonesia
Domori,"Java, Javablond",192,2007,70,Italy,3.75,94,9,8,Indonesia
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75,Switzerland,3.75,99,9,8,Indonesia
Artisan du Chocolat,Jamaica,531,2010,72,U.K.,3.75,88,11,8,Jamaica
Rogue,"Bachelor's Hall E., St. Thomas Parish",1193,2013,75,U.S.A.,3.75,80,7,8,Jamaica
Spencer,"Madagascar, lot M0403R",1792,2016,70,Australia,3.75,83,6,8,Madagascar
Pralus,"Madagascar, Nosy Be Isle.",5,2006,75,France,3.75,96,9,8,Madagascar
Soma,Madagascar,387,2009,70,Canada,3.75,83,12,10,Madagascar
Bar Au Chocolat,Sambirano,983,2012,70,U.S.A.,3.75,93,7,8,Madagascar
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72,Belgium,3.75,80,7,8,Madagascar
Blue Bandana,Madagascar,911,2012,70,U.S.A.,3.75,99,8,7,Madagascar
Chocola'te,Madagascar,647,2011,70,U.S.A.,3.75,98,10,7,Madagascar
Danta,Sambirano,987,2012,70,Guatemala,3.75,80,10,8,Madagascar
Madecasse (Cinagra),Madagascar,284,2008,70,Madagascar,3.75,99,10,7,Madagascar
Palette de Bine,Sambirano,1239,2014,78,Canada,3.75,89,10,8,Madagascar
Sirene,"Somia Plantation, 2012",1339,2014,67,Canada,3.75,81,9,7,Madagascar
Sirene,"Somia Plantation, 2012",1339,2014,73,Canada,3.75,82,6,10,Madagascar
Terroir,Madagascar,1478,2015,70,U.S.A.,3.75,94,6,9,Madagascar
Terroir,Madagascar,1323,2014,67,U.S.A.,3.75,93,8,10,Madagascar
Scharffen Berger,Amina,464,2010,65,U.S.A.,3.75,93,6,10,Madagascar
Michel Cluizel,"Chiapas, Mokaya P.",963,2012,66,France,3.75,97,9,10,Mexico
Arete,Rugoso,1904,2016,70,U.S.A.,3.75,83,8,8,Nicaragua
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70,U.S.A.,3.75,91,8,7,Nicaragua
Friis Holm (Bonnat),"Rugoso, Xoco",923,2012,70,Denmark,3.75,99,9,9,Nicaragua
Manufaktura Czekolady,Johe,1844,2016,70,Poland,3.75,82,7,9,Nicaragua
Duffy's,"Rico Rugoso, Xoco",1331,2014,76,U.K.,3.75,82,9,8,Nicaragua
Soma,"Chuno, San Jose de Bocay, Pantasma R.,B.S.",1828,2016,70,Canada,3.75,86,10,10,Nicaragua
A. Morin,Peru,797,2012,63,France,3.75,96,7,7,Peru
Acalli,"Chulucanas, El Platanal",1462,2015,70,U.S.A.,3.75,98,7,9,Peru
Amedei,"Piura, Blanco de Criollo",979,2012,70,Italy,3.75,90,7,10,Peru
Duffy's,Star of Peru,523,2010,70,U.K.,3.75,80,6,10,Peru
Fresco,"San Martin, Bellavista Coop, #226, DR, MC",1117,2013,70,U.S.A.,3.75,98,8,7,Peru
Lillie Belle,La Selva,903,2012,68,U.S.A.,3.75,84,8,10,Peru
Rogue,Piura,565,2010,75,U.S.A.,3.75,98,10,8,Peru
Szanto Tibor,"Ayacucho, ""El Guinacho""",939,2012,70,Hungary,3.75,90,9,9,Peru
Zotter,Peru,647,2011,70,Austria,3.75,90,10,9,Peru
Acalli,"Tumbes, Norandino",1470,2015,70,U.S.A.,3.75,89,9,8,Peru
Chocolate Makers,"Peru, Awagum bar",1530,2015,80,Amsterdam,3.75,83,6,7,Peru
Obolo,Pangoa,1638,2015,70,Chile,3.75,96,8,8,Peru
Obolo,"Pangoa, w/ nibs",1638,2015,70,Chile,3.75,84,7,10,Peru
"Chocolate Tree, The",Maranon,1582,2015,69,Scotland,3.75,89,10,9,Peru
"Chocolate Tree, The",Peru,1121,2013,70,Scotland,3.75,90,6,7,Peru
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",666,2011,68,Canada,3.75,91,7,8,Peru
Naive,"Maranon Canyon, Fortunato No. 4",1133,2013,78,Lithuania,3.75,91,6,8,Peru
Soma,Maranon Canyon,1259,2014,70,Canada,3.75,86,11,7,Peru
Askinosie,Davao,331,2009,77,U.S.A.,3.75,88,7,9,Philippines
Claudio Corallo,Terreiro Velho P.,470,2010,73.5,Sao Tome,3.75,92,8,9,Sao Tome & Principe
Coppeneur,Uba Budo,821,2012,72,Germany,3.75,83,6,10,Sao Tome & Principe
Zokoko,Guadalcanal,1716,2016,78,Australia,3.75,98,9,9,Solomon Islands
Arete,Kokoa Kamili,1724,2016,70,U.S.A.,3.75,85,8,9,Tanzania
"Smooth Chocolator, The",Kokoa Kamili,1622,2015,67,Australia,3.75,91,6,7,Tanzania
Askinosie,Mababa,1780,2016,68,U.S.A.,3.75,81,7,7,Tanzania
Askinosie,"Tenende, Uwate",647,2011,72,U.S.A.,3.75,100,10,7,Tanzania
Fossa,"Kokoa Kamili Coop, Kilombero",1776,2016,67,Singapore,3.75,80,10,9,Tanzania
Omnom,"Kakao Kamili, Kilombero Valley",1816,2016,70,Iceland,3.75,96,9,10,Tanzania
Fruition,Gran Couva,1347,2014,70,U.S.A.,3.75,90,7,8,Trinidad
Neuhaus (Callebaut),Manickchand Estate,230,2008,67,Belgium,3.75,86,9,10,Trinidad
Palette de Bine,Gran Couva,1399,2014,70,Canada,3.75,87,7,9,Trinidad
"Smooth Chocolator, The",San Juan Estate,1622,2015,70,Australia,3.75,82,6,7,Trinidad
Soma,"Sangre Grande P., Trinidad",1073,2013,70,Canada,3.75,88,8,8,Trinidad
Terroir,Uganda,1323,2014,73,U.S.A.,3.75,96,7,7,Uganda
Soma,"Espiritu Santo, 'Smoke Monster'",1307,2014,70,Canada,3.75,95,10,9,Vanuatu
Kakao,Vanuatu,387,2009,65,Germany,3.75,95,12,10,Vanuatu
Chocola'te,Venezuela,647,2011,68,U.S.A.,3.75,91,8,8,Venezuela
Debauve & Gallais (Michel Cluizel),Venezuela,263,2008,66,France,3.75,84,8,8,Venezuela
Duffy's,Ocumare,923,2012,72,U.K.,3.75,93,10,10,Venezuela
El Rey,San Joaquin,1662,2015,70,Venezuela,3.75,94,6,8,Venezuela
Franceschi,Ocumare,1355,2014,70,Venezuela,3.75,92,12,8,Venezuela
Franceschi,Canoabo,911,2012,70,Venezuela,3.75,95,9,9,Venezuela
Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, 48hr c.",725,2011,72,Switzerland,3.75,85,11,7,Venezuela
Middlebury,"Patanemo, Epoch, Donaldo",1490,2015,75,U.S.A.,3.75,96,9,9,Venezuela
Potomac,"Cuyagua, 2013",1387,2014,70,U.S.A.,3.75,85,10,9,Venezuela
Rogue,"Caranero, Choc. Garage Exclusive",1446,2015,70,U.S.A.,3.75,98,8,8,Venezuela
Scharffen Berger,Cuyagua,135,2007,75,U.S.A.,3.75,100,9,9,Venezuela
A. Morin,Puerto Cabello,1319,2014,70,France,3.75,80,8,8,Venezuela
Amano,Ocumare,175,2007,70,U.S.A.,3.75,88,10,7,Venezuela
Compania de Chocolate (Salgado),Ocumare,292,2008,70,Argentina,3.75,80,6,9,Venezuela
Domori,Guasare,863,2012,70,Italy,3.75,84,11,7,Venezuela
Idilio (Felchlin),Coopertiva Amazona,725,2011,72,Switzerland,3.75,98,9,7,Venezuela
Idilio (Felchlin),"Ocumare, H. Cata, 48hr c.",733,2011,72,Switzerland,3.75,80,7,10,Venezuela
Manufaktura Czekolady,Porcelana,1255,2014,70,Poland,3.75,96,12,9,Venezuela
Rogue,Porcelana,1209,2014,80,U.S.A.,3.75,80,12,8,Venezuela
"Smooth Chocolator, The","Guasare, La Sierra de Perija, batch gua001",1740,2016,70,Australia,3.75,95,11,7,Venezuela
Soma,Patanemo,1077,2013,70,Canada,3.75,85,10,7,Venezuela
Soma,Ocumare,387,2009,70,Canada,3.75,81,11,7,Venezuela
Domori,Ocumare 77,1672,2015,70,Italy,3.75,99,12,9,Venezuela
Coppeneur,Chuao 70hr,451,2009,70,Germany,3.75,84,8,7,Venezuela
Hummingbird,Amazonas,1097,2013,70,Canada,3.75,80,6,10,Venezuela
Cacao de Origen,"Chuao, Aragua region",1395,2014,70,Venezuela,3.75,87,9,10,Venezuela
"Chocolate Tree, The",Carenero Superior,1582,2015,80,Scotland,3.75,96,9,8,Venezuela
Idilio (Felchlin),"Chuao, Venezuela",1085,2013,72,Switzerland,3.75,95,11,9,Venezuela
L.A. Burdick (Felchlin),Chuao,927,2012,68,U.S.A.,3.75,82,6,9,Venezuela
"Smooth Chocolator, The","Chuao, batch 3",1666,2015,70,Australia,3.75,99,6,9,Venezuela
Soma,Carenero Superior,951,2012,70,Canada,3.75,96,8,7,Venezuela
Valrhona,Chuao 2002 P.,129,2007,65,France,3.75,84,10,9,Venezuela
Amedei,Venezuela,123,2007,70,Italy,3.75,90,11,9,Venezuela
Laia aka Chat-Noir,"Lam Dong, Batch 153",1642,2015,75,France,3.75,87,6,10,Vietnam
Marou,"Dak Lak, Batch 2451",1650,2015,70,Vietnam,3.75,99,11,8,Vietnam
Palette de Bine,Lam Dong,1574,2015,72,Canada,3.75,98,12,10,Vietnam
Scharffen Berger,Ben Tre,445,2009,72,U.S.A.,3.75,88,8,9,Vietnam
Glennmade,"Toledo District, 2015 Harvest",1848,2016,70,U.S.A.,3.5,82,8,6,Belize
Belyzium,Belize south,1768,2016,83,Germany,3.5,91,7,5,Belize
Dandelion,Maya Mountain,1219,2014,70,U.S.A.,3.5,91,10,6,Belize
Izard,"Maya Mountain, Toledo, Batch 29",1542,2015,70,U.S.A.,3.5,83,12,5,Belize
Just Good Chocolate,Belize,1375,2014,70,U.S.A.,3.5,100,9,5,Belize
Mast Brothers,Moho River,773,2011,70,U.S.A.,3.5,90,9,7,Belize
Middlebury,Maya Mountain,1490,2015,80,U.S.A.,3.5,92,8,6,Belize
Zak's,"Belize, Batch 2",1578,2015,70,U.S.A.,3.5,85,6,6,Belize
A. Morin,Bolivia,797,2012,70,France,3.5,90,7,7,Bolivia
Animas,Alto Beni,1852,2016,75,U.S.A.,3.5,80,11,7,Bolivia
Sirene,Wild Bolivia,1788,2016,73,Canada,3.5,81,12,7,Bolivia
Wm,"Wild Beniano, 2016, batch 128, Heirloom",1912,2016,76,U.S.A.,3.5,99,10,5,Bolivia
Zokoko,Alto Beni,697,2011,68,Australia,3.5,91,9,5,Bolivia
Heirloom Cacao Preservation (Guittard),"Alto Beni, Upper Rio Beni, 2014",1239,2014,67,U.S.A.,3.5,94,9,6,Bolivia
Lillie Belle,"Bolivia, Wild Thing",903,2012,68,U.S.A.,3.5,85,8,5,Bolivia
Lillie Belle,Wild Thing,947,2012,68,U.S.A.,3.5,85,12,6,Bolivia
Oialla by Bojessen (Malmo),"Sylvestre, Oialla",761,2011,70,Germany,3.5,85,6,7,Bolivia
Soma,"Alto Beni, Wild Bolivian",676,2011,70,Canada,3.5,86,7,7,Bolivia
Arete,Fazenda Camboa,1534,2015,70,U.S.A.,3.5,95,7,6,Brazil
Bar Au Chocolat,Bahia,1554,2015,70,U.S.A.,3.5,80,10,7,Brazil
Bonnat,Maragnam,1038,2013,75,France,3.5,97,8,7,Brazil
Bonnat,Juliana,672,2011,75,France,3.5,87,9,7,Brazil
De Mendes,"Nativo, Varzea",1462,2015,72,Brazil,3.5,81,7,5,Brazil
De Mendes,"Selvagem, Jari",1462,2015,65,Brazil,3.5,80,7,7,Brazil
Harper Macaw,"Tome Acu E., Amazon Rainforest",1700,2015,77,U.S.A.,3.5,98,7,5,Brazil
Harper Macaw,"Vale do Juliana E., Atlantic Forest",1700,2015,74,U.S.A.,3.5,88,10,6,Brazil
Madre,Brazil,1085,2013,70,U.S.A.,3.5,93,8,6,Brazil
Potomac,Bahia,789,2011,70,U.S.A.,3.5,86,12,6,Brazil
Pralus,"Monte Alegre, Diego Badero",280,2008,75,France,3.5,95,10,5,Brazil
Q Chocolate,Brazil,1057,2013,85,Brazil,3.5,88,6,7,Brazil
Salgado,Bahia Superior,288,2008,70,Argentina,3.5,87,6,5,Brazil
Lajedo do Ouro,Catongo,927,2012,70,Brazil,3.5,87,6,5,Brazil
Mission,"Bahia, Fazenda Venturosa",1626,2015,70,Brazil,3.5,90,11,6,Brazil
Soma,"Bahia Black, batch bra50722.1",1828,2016,70,Canada,3.5,99,9,6,Brazil
Szanto Tibor,"Fazenda Sempre Firme, Bahia",1708,2015,70,Hungary,3.5,87,10,7,Brazil
Tejas,"Bahia, Floresta Azul,Good Friends Reserve#3",971,2012,70,U.S.A.,3.5,87,11,6,Brazil
Nugali,Fazenda Leolinda,1876,2016,70,Brazil,3.5,85,9,7,Brazil
S.A.I.D.,Arawak,615,2010,72,Italy,3.5,78,9,7,Carribean
Cacao Hunters,Sierra Nevada,1430,2014,64,Colombia,3.5,70,8,6,Colombia
Cacao Hunters,Tumaco,1430,2014,70,Colombia,3.5,80,6,5,Colombia
Luker,Santander,552,2010,65,Colombia,3.5,77,7,5,Colombia
Manufaktura Czekolady,Kolumbia,1279,2014,85,Poland,3.5,82,11,6,Colombia
Carlotta Chocolat,Cesar,1888,2016,65,Colombia,3.5,87,11,7,Colombia
Castronovo,Sierra Nevada,1347,2014,72,U.S.A.,3.5,71,11,6,Colombia
Castronovo,Arauca,1371,2014,76,U.S.A.,3.5,77,12,6,Colombia
Carlotta Chocolat,Huila,1888,2016,65,Colombia,3.5,83,9,7,Colombia
Pralus,Colombie,40,2006,75,France,3.5,71,8,5,Colombia
Cacao Sampaka,"Mahali, Kasai",1908,2016,70,Spain,3.5,89,11,7,Congo
Blanxart,"Congo, Grand Cru",1046,2013,82,Spain,3.5,88,7,6,Congo
Chocolate Makers,"Congo, Gorilla bar",1530,2015,68,Amsterdam,3.5,82,7,6,Congo
